[GIN] 2026/06/19 - 07:31:58 | 200 |     14.0486ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |      23.834ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     13.9062ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     23.5171ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     15.0624ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     24.0535ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |      15.035ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     14.6411ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     24.0723ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     13.8489ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     13.5131ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     13.9743ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     24.8886ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     13.5184ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     24.2355ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     14.5692ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     14.4393ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |      24.729ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |      13.534ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     22.8456ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     14.4781ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     25.2647ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     15.0292ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:58 | 200 |     14.5717ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:32:09 | 200 |     24.4356ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:32:09 | 200 |     14.1837ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:32:09 | 200 |     13.5465ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:32:09 | 200 |      13.558ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:32:09 | 200 |     15.1057ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:32:09 | 200 |     24.7875ms |       127.0.0.1 | POST     "/api/embed"
